Date,Close/Last,Volume,Open,High,Low
04/04/2025,$198.60,4944164,$209.395,$211.28,$198.51
04/03/2025,$216.90,3705029,$218.17,$222.62,$216.6411
04/02/2025,$226.15,4440319,$221.91,$227.00,$221.40
04/01/2025,$222.01,3372249,$220.37,$222.30,$217.13
03/31/2025,$220.83,4243971,$215.70,$221.83,$214.28
03/28/2025,$216.13,2499797,$218.84,$220.38,$214.93
03/27/2025,$219.18,3964725,$220.93,$222.24,$218.70
03/26/2025,$221.69,1690163,$223.40,$224.21,$220.81
03/25/2025,$222.62,1935421,$222.39,$223.36,$221.0651
03/24/2025,$221.79,1685773,$220.92,$223.30,$219.9416
03/21/2025,$218.09,3538035,$220.32,$221.62,$217.345
03/20/2025,$221.79,2298889,$218.67,$222.68,$218.56
03/19/2025,$220.35,3475373,$216.91,$221.74,$216.57
03/18/2025,$216.94,2402150,$217.15,$218.45,$215.80
03/17/2025,$218.16,2063864,$213.52,$218.85,$213.27
03/14/2025,$214.61,3190486,$210.35,$214.99,$207.54
03/13/2025,$209.45,2659435,$211.31,$213.63,$208.39
03/12/2025,$211.33,3744972,$216.68,$216.68,$209.5921
03/11/2025,$213.41,4734638,$215.29,$216.3694,$212.7901
03/10/2025,$214.62,5614430,$214.37,$216.989,$211.87
03/07/2025,$218.04,4456927,$219.68,$220.835,$212.85
03/06/2025,$219.95,3058522,$223.00,$224.33,$218.0126
03/05/2025,$225.96,2415752,$224.15,$226.8099,$222.9601
03/04/2025,$223.92,4323495,$235.69,$235.70,$222.95
03/03/2025,$237.79,4041349,$235.47,$238.59,$234.80
02/28/2025,$235.69,3161640,$232.50,$235.86,$231.3745
02/27/2025,$231.58,2938126,$231.15,$234.94,$230.00
02/26/2025,$229.71,4558374,$231.90,$234.95,$229.43
02/25/2025,$232.38,4307612,$230.00,$233.00,$229.055
02/24/2025,$232.09,3779632,$230.70,$233.33,$225.89
02/21/2025,$232.34,4404370,$234.21,$235.24,$231.24
02/20/2025,$234.43,3688314,$237.02,$237.995,$234.02
02/19/2025,$236.34,2849918,$236.00,$237.13,$234.36
02/18/2025,$236.28,5087073,$231.47,$236.93,$230.9375
02/14/2025,$230.60,2111032,$230.95,$232.65,$230.00
02/13/2025,$229.87,2189051,$228.93,$230.75,$227.29
02/12/2025,$227.73,2721571,$228.65,$229.64,$226.3503
02/11/2025,$229.89,2787979,$229.65,$230.59,$228.37
02/10/2025,$230.65,2907626,$229.68,$231.495,$229.03
02/07/2025,$230.06,2737067,$231.54,$233.26,$229.785
02/06/2025,$231.24,2734134,$229.50,$232.25,$228.27
02/05/2025,$229.53,5443554,$224.41,$231.61,$221.70
02/04/2025,$214.22,3169187,$218.53,$219.97,$213.11
02/03/2025,$216.62,2025485,$214.41,$217.47,$212.27
01/31/2025,$216.04,2180530,$215.81,$217.52,$215.40
01/30/2025,$215.91,2501864,$214.04,$218.03,$214.015
01/29/2025,$212.51,4113489,$211.82,$220.26,$211.37
01/28/2025,$211.72,2419752,$212.73,$213.885,$210.83
01/27/2025,$213.13,2836423,$207.61,$213.23,$207.48
01/24/2025,$208.84,1979595,$206.90,$209.43,$206.51
01/23/2025,$206.49,3297984,$207.36,$208.99,$204.72
01/22/2025,$209.45,1805516,$208.98,$209.86,$207.62
01/21/2025,$208.98,2014268,$210.00,$210.7762,$208.6701
01/17/2025,$208.58,2598084,$207.80,$209.31,$206.01
01/16/2025,$206.26,2530955,$204.72,$207.28,$204.30
01/15/2025,$204.25,3322798,$206.76,$207.01,$203.33
01/14/2025,$204.47,2680344,$204.05,$205.405,$203.15
01/13/2025,$201.53,1918078,$199.58,$201.71,$199.5201
01/10/2025,$200.51,3114414,$203.84,$204.255,$199.58
01/08/2025,$205.23,2490879,$204.03,$205.74,$203.73
01/07/2025,$203.82,2711253,$206.26,$207.33,$203.46
01/06/2025,$205.63,1823730,$208.57,$208.99,$205.40
01/03/2025,$208.57,1579964,$207.48,$208.75,$205.585
01/02/2025,$205.98,2002709,$207.00,$207.85,$204.51
12/31/2024,$205.42,1416897,$206.77,$207.2643,$204.80
12/30/2024,$206.27,1912851,$206.17,$207.41,$204.15
12/27/2024,$207.95,1426751,$208.68,$209.36,$206.20
12/26/2024,$210.29,1202715,$208.38,$210.43,$208.38
12/24/2024,$209.45,795811,$206.28,$209.45,$206.28
12/23/2024,$206.71,1586464,$204.64,$206.85,$203.58
12/20/2024,$206.05,6792078,$201.52,$206.68,$201.45
12/19/2024,$202.26,3310458,$203.51,$205.64,$201.99
12/18/2024,$201.76,3396511,$205.16,$208.28,$201.61
12/17/2024,$204.15,3547123,$202.70,$204.71,$201.95
12/16/2024,$203.38,3181522,$205.70,$206.25,$202.93
12/13/2024,$204.66,2536167,$206.17,$206.85,$203.86
12/12/2024,$204.85,2316508,$204.36,$205.22,$203.18
12/11/2024,$203.96,2720419,$202.50,$205.035,$201.65
12/10/2024,$201.54,3582157,$203.28,$203.28,$200.52
12/09/2024,$202.89,3985435,$207.06,$207.57,$202.72
12/06/2024,$207.28,3642676,$205.29,$207.56,$204.6901
12/05/2024,$204.00,7613815,$203.00,$208.00,$200.71
12/04/2024,$215.85,3801879,$215.28,$216.3822,$213.24
12/03/2024,$215.38,3949064,$219.36,$220.13,$214.91
12/02/2024,$218.51,2512740,$222.00,$222.19,$217.7411
11/29/2024,$220.96,1543376,$221.10,$222.35,$220.70
11/27/2024,$220.59,2234422,$219.88,$222.26,$219.37
11/26/2024,$222.45,1868509,$222.00,$223.23,$221.01
11/25/2024,$221.76,4340847,$221.15,$223.22,$219.78
11/22/2024,$221.56,2876564,$217.15,$222.05,$217.15
11/21/2024,$217.41,2832341,$218.33,$219.11,$217.21
11/20/2024,$217.94,2828196,$217.22,$218.18,$215.06
11/19/2024,$215.12,2609779,$212.04,$216.93,$211.65
11/18/2024,$212.74,1748885,$211.01,$213.28,$210.57
11/15/2024,$210.92,2279330,$210.47,$211.24,$208.8857
11/14/2024,$210.85,2283631,$213.10,$214.45,$210.11
11/13/2024,$213.18,2096815,$213.97,$215.50,$213.13
11/12/2024,$214.06,1805977,$214.47,$215.25,$213.50
11/11/2024,$214.86,2353368,$212.56,$215.45,$212.56
11/08/2024,$210.70,1761528,$210.38,$212.84,$209.18
11/07/2024,$208.87,2084922,$210.35,$210.94,$207.795
11/06/2024,$211.20,3808883,$210.31,$211.98,$204.875
11/05/2024,$203.02,2718972,$200.29,$203.32,$198.35
11/04/2024,$200.82,2026683,$202.45,$202.96,$200.30
11/01/2024,$202.05,4239704,$198.28,$202.88,$197.94
10/31/2024,$197.90,2261322,$199.83,$201.62,$197.89
10/30/2024,$199.81,2719246,$201.22,$202.37,$199.035
10/29/2024,$200.91,1915449,$201.51,$202.66,$200.64
10/28/2024,$201.42,1993592,$200.44,$201.715,$200.01
10/25/2024,$199.52,2436675,$203.43,$203.70,$199.23
10/24/2024,$203.29,2032829,$202.52,$204.50,$202.01
10/23/2024,$202.36,3577311,$199.75,$203.00,$199.58
10/22/2024,$199.67,4479198,$191.93,$199.87,$188.94
10/21/2024,$197.17,3011993,$196.88,$197.67,$195.65
10/18/2024,$197.29,3463499,$197.12,$198.315,$195.53
10/17/2024,$195.74,3687248,$198.47,$198.86,$195.52
10/16/2024,$197.70,2611713,$193.96,$197.89,$193.02
