Date,Close/Last,Volume,Open,High,Low
04/04/2025,$69.90,8786241,$73.22,$73.66,$69.70
04/03/2025,$74.51,4952698,$74.25,$76.37,$73.95
04/02/2025,$75.74,2733154,$74.18,$75.89,$73.82
04/01/2025,$74.57,2762424,$74.60,$74.93,$73.86
03/31/2025,$74.68,3004128,$73.67,$75.01,$73.18
03/28/2025,$73.65,2280405,$75.07,$75.38,$73.22
03/27/2025,$75.07,2412326,$74.56,$75.24,$74.22
03/26/2025,$74.58,2014772,$74.87,$75.34,$74.10
03/25/2025,$74.17,2919916,$74.49,$74.56,$73.90
03/24/2025,$74.29,2459295,$73.71,$74.33,$73.50
03/21/2025,$73.35,6912826,$74.16,$74.435,$73.12
03/20/2025,$74.41,3472572,$73.86,$74.89,$73.71
03/19/2025,$74.33,4613349,$73.04,$74.92,$72.64
03/18/2025,$73.29,5841215,$72.65,$73.78,$72.015
03/17/2025,$72.26,3420632,$70.67,$72.91,$70.24
03/14/2025,$70.89,3723494,$69.81,$71.30,$69.42
03/13/2025,$69.75,5225973,$68.52,$71.02,$68.11
03/12/2025,$68.12,3301023,$68.19,$68.4047,$66.51
03/11/2025,$68.12,4395250,$70.80,$71.082,$68.08
03/10/2025,$71.27,4910867,$70.60,$72.68,$70.44
03/07/2025,$71.27,4576523,$70.26,$72.015,$70.135
03/06/2025,$70.39,2566992,$69.04,$70.60,$68.73
03/05/2025,$69.66,2973942,$69.91,$70.23,$68.80
03/04/2025,$69.89,3809952,$71.38,$72.20,$69.76
03/03/2025,$72.20,3571171,$71.41,$72.46,$70.915
02/28/2025,$71.12,5425752,$69.39,$71.22,$69.39
02/27/2025,$69.25,3111519,$69.06,$69.92,$68.95
02/26/2025,$68.91,2572895,$69.50,$70.00,$68.665
02/25/2025,$69.31,3223169,$69.93,$70.76,$68.85
02/24/2025,$69.37,3276434,$69.67,$69.9867,$68.90
02/21/2025,$69.85,5688720,$69.92,$70.71,$69.395
02/20/2025,$69.85,3774977,$69.65,$70.20,$69.11
02/19/2025,$69.42,4038230,$69.59,$69.735,$68.65
02/18/2025,$69.67,4555112,$69.10,$70.35,$69.01
02/14/2025,$68.98,6282336,$70.50,$70.90,$68.68
02/13/2025,$70.53,6079418,$72.57,$72.88,$70.23
02/12/2025,$72.58,10135650,$71.71,$73.66,$71.71
02/11/2025,$73.16,19368870,$72.00,$75.18,$67.55
02/10/2025,$82.66,3450800,$83.58,$83.705,$82.48
02/07/2025,$83.42,2421005,$83.11,$83.97,$82.94
02/06/2025,$82.86,2219521,$82.65,$82.86,$81.97
02/05/2025,$82.24,2265161,$82.08,$82.39,$81.73
02/04/2025,$81.53,1766476,$81.85,$82.105,$80.88
02/03/2025,$81.88,2385425,$80.18,$82.05,$80.015
01/31/2025,$81.47,2406810,$82.29,$82.38,$81.265
01/30/2025,$82.08,1897644,$81.30,$82.45,$81.20
01/29/2025,$80.64,1572145,$80.40,$81.37,$80.15
01/28/2025,$80.36,2165821,$80.55,$81.39,$80.16
01/27/2025,$81.11,1942824,$79.65,$81.23,$79.2101
01/24/2025,$79.23,2001324,$78.99,$79.79,$78.99
01/23/2025,$79.29,2125746,$78.98,$79.33,$78.30
01/22/2025,$78.52,1880524,$78.86,$79.00,$78.30
01/21/2025,$78.91,2414861,$79.07,$79.605,$78.7508
01/17/2025,$78.78,3150125,$78.91,$79.46,$78.415
01/16/2025,$78.71,1694683,$78.00,$78.76,$77.64
01/15/2025,$78.04,2295924,$79.97,$80.00,$77.92
01/14/2025,$78.35,2050190,$78.56,$78.95,$77.785
01/13/2025,$78.63,3154819,$76.97,$78.68,$76.8175
01/10/2025,$77.13,2431875,$78.51,$78.775,$76.92
01/08/2025,$79.35,3005437,$79.25,$79.50,$78.55
01/07/2025,$79.16,3494439,$79.14,$80.045,$78.72
01/06/2025,$79.04,2554138,$80.26,$80.33,$78.835
01/03/2025,$80.26,1630313,$80.20,$80.66,$79.74
01/02/2025,$80.09,1660280,$81.13,$81.13,$79.70
12/31/2024,$80.77,1975945,$80.89,$81.2308,$80.36
12/30/2024,$80.59,1545929,$81.00,$81.09,$80.14
12/27/2024,$81.60,1551928,$81.81,$82.568,$81.39
12/26/2024,$82.26,1655471,$81.85,$82.49,$81.621
12/24/2024,$82.34,883616,$81.37,$82.36,$81.101
12/23/2024,$81.40,2201860,$80.98,$81.515,$80.59
12/20/2024,$81.46,8122557,$79.84,$81.67,$79.591
12/19/2024,$80.14,2706574,$80.97,$81.47,$80.11
12/18/2024,$80.34,3218401,$83.20,$83.3485,$80.30
12/17/2024,$83.17,3532352,$82.72,$83.54,$82.32
12/16/2024,$83.05,3202968,$84.24,$84.784,$83.03
12/13/2024,$84.10,2331107,$84.91,$85.438,$83.95
12/12/2024,$84.91,2113824,$85.60,$85.8497,$84.85
12/11/2024,$85.28,2348238,$84.91,$85.29,$84.00
12/10/2024,$84.83,3196331,$83.67,$85.30,$83.22
12/09/2024,$83.78,3035643,$84.94,$85.16,$83.675
12/06/2024,$85.34,4354322,$85.86,$85.86,$84.07
12/05/2024,$85.49,4084873,$85.23,$85.655,$84.85
12/04/2024,$85.25,5089027,$85.45,$85.7672,$83.45
12/03/2024,$85.24,4191566,$85.24,$85.579,$84.795
12/02/2024,$85.13,2536020,$85.52,$85.635,$84.12
11/29/2024,$85.30,1126820,$85.57,$86.03,$84.9131
11/27/2024,$85.55,2550232,$85.19,$85.85,$85.065
11/26/2024,$84.94,2646171,$84.64,$85.14,$83.95
11/25/2024,$84.41,6316119,$85.95,$86.00,$84.10
11/22/2024,$86.08,3817314,$85.88,$86.37,$85.39
11/21/2024,$85.50,4287069,$86.54,$86.71,$84.53
11/20/2024,$85.90,4447620,$85.50,$86.10,$85.19
11/19/2024,$86.08,3057095,$87.73,$87.785,$85.56
11/18/2024,$88.42,2755520,$87.63,$88.55,$87.63
11/15/2024,$87.82,2655968,$87.97,$88.625,$86.97
11/14/2024,$88.46,3183101,$88.60,$89.5663,$88.38
11/13/2024,$88.88,3507537,$87.98,$88.92,$87.63
11/12/2024,$87.62,2932238,$88.75,$89.255,$87.50
11/11/2024,$88.72,3854876,$88.30,$89.44,$87.92
11/08/2024,$88.07,3113264,$87.26,$88.99,$86.93
11/07/2024,$86.68,4177509,$85.95,$86.75,$85.39
11/06/2024,$86.44,8002306,$88.00,$88.22,$84.40
