Date,Close/Last,Volume,Open,High,Low
04/04/2025,$34.51,80694670,$35.625,$36.25,$31.59
04/03/2025,$38.26,62216640,$37.975,$39.8897,$37.44
04/02/2025,$42.68,44551410,$40.69,$43.5986,$40.55
04/01/2025,$42.16,42942710,$41.80,$43.37,$40.61
03/31/2025,$41.62,40954760,$39.775,$41.95,$38.8382
03/28/2025,$41.92,44330420,$42.69,$43.07,$40.57
03/27/2025,$43.99,51945510,$44.11,$45.59,$43.24
03/26/2025,$44.73,45124410,$47.98,$48.00,$43.80
03/25/2025,$48.15,43367870,$48.75,$49.88,$47.20
03/24/2025,$48.36,50761990,$46.40,$48.99,$46.10
03/21/2025,$44.36,43674240,$41.95,$44.73,$41.50
03/20/2025,$43.66,49146630,$42.20,$44.24,$41.93
03/19/2025,$42.80,56447050,$40.775,$43.84,$40.1763
03/18/2025,$40.10,44644590,$40.80,$41.56,$38.8495
03/17/2025,$42.02,45895480,$39.35,$42.92,$38.96
03/14/2025,$39.24,37821450,$37.40,$39.46,$37.01
03/13/2025,$36.02,47786340,$38.27,$38.68,$35.91
03/12/2025,$38.92,50844260,$38.99,$39.671,$36.8509
03/11/2025,$36.36,69609280,$36.195,$38.35,$35.57
03/10/2025,$35.63,89410580,$40.925,$41.1974,$35.23
03/07/2025,$44.42,53582220,$43.64,$45.37,$40.95
03/06/2025,$44.84,40627630,$46.23,$48.7899,$44.66
03/05/2025,$48.12,33830090,$46.70,$48.29,$44.92
03/04/2025,$46.22,62405440,$45.19,$48.27,$42.14
03/03/2025,$46.89,52710120,$54.72,$54.8399,$46.68
02/28/2025,$50.10,46083540,$48.185,$51.17,$47.41
02/27/2025,$48.78,48032950,$51.76,$52.93,$48.42
02/26/2025,$48.85,43276500,$47.31,$50.52,$46.54
02/25/2025,$45.92,59731340,$47.51,$48.84,$44.02
02/24/2025,$49.93,40671140,$52.24,$52.56,$47.97
02/21/2025,$51.60,33697500,$57.87,$57.87,$51.44
02/20/2025,$56.06,36348820,$59.09,$59.10,$54.23
02/19/2025,$59.23,26252600,$61.09,$61.9108,$58.65
02/18/2025,$60.44,42371180,$65.21,$65.578,$59.901
02/14/2025,$65.28,39353320,$63.305,$66.0799,$61.7214
02/13/2025,$63.80,77989660,$62.09,$66.91,$61.20
02/12/2025,$55.91,48482720,$53.17,$56.74,$52.65
02/11/2025,$53.34,24210920,$55.90,$55.9899,$53.28
02/10/2025,$56.27,23555920,$57.18,$57.27,$55.55
02/07/2025,$55.86,25050330,$54.39,$55.98,$54.11
02/06/2025,$53.17,15893950,$54.80,$54.88,$52.16
02/05/2025,$54.20,16673360,$52.32,$54.33,$52.21
02/04/2025,$52.58,17469550,$52.00,$53.31,$51.54
02/03/2025,$51.90,19031770,$48.49,$52.32,$48.08
