Date,Close/Last,Volume,Open,High,Low
04/04/2025,$561.53,3335228,$588.10,$594.21,$560.94
04/03/2025,$598.53,2833881,$604.00,$616.4225,$598.20
04/02/2025,$620.91,1604512,$605.06,$625.00,$604.96
04/01/2025,$613.78,1826563,$610.87,$617.12,$606.15
03/31/2025,$613.99,3071729,$600.34,$617.9999,$593.73
03/28/2025,$598.92,1574687,$611.57,$613.785,$595.55
03/27/2025,$615.30,1206171,$615.49,$620.61,$612.31
03/26/2025,$614.86,1715803,$618.78,$620.27,$613.07
03/25/2025,$618.72,1126601,$611.52,$620.93,$605.2197
03/24/2025,$613.09,1703083,$610.00,$614.285,$605.285
03/21/2025,$604.04,2391432,$592.99,$605.25,$590.02
03/20/2025,$600.42,1088638,$599.11,$605.58,$596.0885
03/19/2025,$603.11,1247894,$605.78,$609.035,$597.505
03/18/2025,$599.03,1230397,$598.90,$601.56,$591.80
03/17/2025,$602.11,1559099,$595.42,$605.325,$591.92
03/14/2025,$598.80,2063204,$589.22,$601.54,$586.83
03/13/2025,$581.32,2269785,$586.08,$586.18,$563.72
03/12/2025,$591.14,1874741,$589.01,$597.27,$585.585
03/11/2025,$586.71,1909438,$579.78,$595.11,$577.375
03/10/2025,$579.78,2375933,$603.89,$606.35,$575.44
03/07/2025,$609.61,1689791,$605.86,$614.63,$594.53
03/06/2025,$606.37,1670998,$613.02,$619.8502,$602.12
03/05/2025,$617.51,1615471,$608.92,$618.40,$601.21
03/04/2025,$598.07,2308459,$604.28,$608.90,$587.2801
03/03/2025,$601.09,1597721,$617.86,$620.81,$599.40
02/28/2025,$613.84,2444617,$600.92,$614.85,$598.3728
02/27/2025,$600.42,2451668,$625.00,$627.99,$599.63
02/26/2025,$625.51,4674166,$635.50,$638.99,$615.4361
02/25/2025,$555.63,3014541,$567.31,$571.42,$553.24
02/24/2025,$567.24,2040903,$565.96,$572.75,$563.2981
02/21/2025,$565.47,2006637,$580.55,$582.15,$561.25
02/20/2025,$579.08,2703871,$583.02,$586.10,$573.39
02/19/2025,$582.19,2063182,$578.74,$582.8799,$575.59
02/18/2025,$579.94,2054262,$589.86,$590.04,$576.06
02/14/2025,$587.38,1349109,$584.69,$591.39,$580.09
02/13/2025,$583.90,1609983,$580.56,$592.00,$579.00
02/12/2025,$576.54,1737879,$578.07,$580.9706,$568.71
02/11/2025,$585.88,1856778,$581.09,$591.98,$581.09
02/10/2025,$586.84,1571453,$575.00,$588.80,$575.00
02/07/2025,$578.85,1430967,$590.59,$596.18,$577.22
02/06/2025,$590.20,1534164,$588.26,$595.155,$585.80
02/05/2025,$588.26,2134484,$593.42,$593.585,$580.095
02/04/2025,$591.72,1737455,$596.34,$608.48,$590.12
02/03/2025,$600.76,2244522,$600.40,$601.83,$585.01
01/31/2025,$601.51,1640288,$604.88,$610.90,$599.86
01/30/2025,$604.60,1220007,$595.34,$605.66,$593.70
01/29/2025,$592.99,1457493,$599.65,$603.54,$590.19
01/28/2025,$600.66,1675072,$608.62,$613.71,$600.19
01/27/2025,$606.62,1985711,$586.96,$614.39,$586.00
01/24/2025,$597.95,1901375,$601.99,$602.53,$595.44
01/23/2025,$598.30,2241425,$608.80,$608.80,$597.49
01/22/2025,$611.68,1214052,$609.68,$617.54,$609.68
01/21/2025,$609.41,1666303,$605.99,$611.06,$602.68
01/17/2025,$604.13,2836669,$615.87,$615.87,$596.20
01/16/2025,$607.27,2834069,$623.32,$623.75,$606.745
01/15/2025,$621.45,1938228,$623.80,$627.50,$610.61
01/14/2025,$623.80,1697349,$615.00,$623.99,$614.26
01/13/2025,$613.22,1684406,$620.38,$622.00,$612.30
01/10/2025,$623.43,2390075,$618.84,$633.62,$617.29
01/08/2025,$626.05,1226395,$616.43,$627.605,$613.71
01/07/2025,$615.43,1030343,$623.36,$626.65,$611.925
01/06/2025,$625.16,1260872,$626.97,$633.40,$623.00
01/03/2025,$630.23,993440,$628.50,$631.00,$624.52
01/02/2025,$622.79,1180038,$637.00,$637.73,$619.43
12/31/2024,$628.50,988463,$630.90,$633.655,$626.39
12/30/2024,$630.30,1102753,$632.85,$634.1255,$623.41
12/27/2024,$638.57,966645,$643.24,$643.24,$631.18
12/26/2024,$646.19,639320,$641.35,$648.99,$640.80
12/24/2024,$645.29,668692,$639.00,$645.54,$636.08
12/23/2024,$638.30,1614424,$640.65,$642.25,$633.75
12/20/2024,$643.39,3450977,$629.20,$648.985,$624.03
12/19/2024,$636.95,2314760,$653.76,$661.95,$636.71
12/18/2024,$649.81,2408509,$677.01,$677.01,$647.31
12/17/2024,$677.77,1814907,$670.00,$679.85,$664.045
12/16/2024,$671.50,1684545,$656.78,$672.915,$656.78
12/13/2024,$656.45,1634810,$668.99,$672.70,$653.9783
12/12/2024,$672.25,1629743,$674.03,$676.15,$662.95
12/11/2024,$670.56,1868762,$647.07,$670.739,$646.26
12/10/2024,$647.07,1485682,$649.29,$659.235,$644.70
12/09/2024,$646.58,1379834,$643.61,$650.78,$640.17
12/06/2024,$646.47,1125182,$649.17,$654.11,$645.82
12/05/2024,$648.70,1219740,$651.96,$653.055,$641.45
12/04/2024,$654.64,1620046,$639.00,$660.39,$636.945
12/03/2024,$636.02,1105028,$629.60,$636.68,$626.40
12/02/2024,$634.07,1502257,$637.05,$640.385,$631.67
11/29/2024,$641.73,828881,$640.88,$645.36,$636.3301
11/27/2024,$636.17,1376295,$633.92,$641.085,$631.20
11/26/2024,$638.83,1784179,$633.00,$641.50,$630.33
11/25/2024,$634.62,2951827,$641.61,$651.11,$632.88
11/22/2024,$640.12,3294240,$668.18,$675.00,$639.15
11/21/2024,$678.70,2318306,$659.78,$681.5894,$656.75
11/20/2024,$650.60,1880673,$642.09,$652.28,$637.60
11/19/2024,$644.17,2536019,$636.10,$646.8699,$632.40
11/18/2024,$678.81,1580409,$685.645,$688.12,$675.795
11/15/2024,$687.87,1799379,$691.16,$692.85,$680.21
11/14/2024,$700.76,1769831,$701.58,$706.00,$693.40
11/13/2024,$706.25,1472423,$697.25,$714.78,$695.02
11/12/2024,$699.47,1409525,$695.00,$703.88,$694.30
11/11/2024,$697.35,1514491,$683.79,$698.96,$682.30
11/08/2024,$684.22,1705774,$678.00,$688.88,$672.23
11/07/2024,$674.15,1928020,$651.74,$675.10,$651.74
11/06/2024,$648.39,2963912,$643.12,$668.00,$642.75
11/05/2024,$618.83,1564288,$619.86,$622.285,$610.71
11/04/2024,$619.01,1152530,$623.00,$624.52,$615.83
11/01/2024,$621.74,1436999,$605.00,$626.38,$603.00
10/31/2024,$610.30,1478604,$620.17,$621.735,$608.55
10/30/2024,$621.11,1082398,$623.79,$629.47,$619.905
10/29/2024,$623.70,1134801,$612.99,$625.60,$609.38
10/28/2024,$612.09,1291982,$612.84,$613.77,$607.89
10/25/2024,$609.27,1000674,$610.00,$617.22,$607.83
10/24/2024,$603.98,883317,$602.91,$608.79,$602.00
10/23/2024,$602.01,1119205,$608.02,$609.99,$599.65
10/22/2024,$609.59,1088541,$608.92,$613.29,$605.28
10/21/2024,$613.93,1058121,$608.23,$615.62,$607.11
10/18/2024,$613.29,1299488,$601.34,$615.44,$600.11
10/17/2024,$609.23,1135351,$619.08,$619.14,$607.85
10/16/2024,$609.39,1132427,$616.58,$618.07,$607.46
10/15/2024,$617.89,1259317,$619.82,$623.035,$615.76
10/14/2024,$617.16,990064,$620.31,$620.31,$612.80
10/11/2024,$616.68,1275688,$619.18,$622.345,$613.73
10/10/2024,$619.30,1127917,$618.00,$621.4899,$616.00
10/09/2024,$621.61,1183577,$615.00,$621.97,$611.61
10/08/2024,$613.37,1201928,$608.01,$614.55,$603.82
10/07/2024,$602.43,1711215,$607.03,$610.54,$600.71
10/04/2024,$610.67,1220267,$608.20,$614.34,$605.12
10/03/2024,$603.81,1290000,$601.31,$607.00,$599.89
10/02/2024,$607.28,1164726,$607.40,$612.63,$604.26
10/01/2024,$606.28,1869058,$618.02,$618.60,$603.85
09/30/2024,$621.00,1361563,$618.20,$623.70,$616.20
09/27/2024,$619.03,1425425,$636.83,$638.49,$618.3255
09/26/2024,$636.83,1084495,$645.00,$645.9249,$633.87
09/25/2024,$634.74,1414583,$634.89,$643.19,$632.34
09/24/2024,$638.20,1454688,$640.96,$643.9704,$635.52
09/23/2024,$641.97,1069463,$649.50,$649.50,$639.505
09/20/2024,$644.99,2960991,$644.36,$651.23,$638.783
09/19/2024,$654.24,1567380,$651.06,$660.6088,$646.06
09/18/2024,$633.07,1000155,$642.93,$646.13,$632.10
09/17/2024,$644.82,934751,$650.00,$650.00,$644.21
