Date,Close/Last,Volume,Open,High,Low
04/04/2025,$9.57,89686020,$9.98,$10.2199,$8.88
04/03/2025,$10.64,73382340,$11.14,$11.416,$10.56
04/02/2025,$12.31,55622190,$11.55,$12.499,$11.55
04/01/2025,$11.91,48664120,$11.59,$12.16,$11.48
03/31/2025,$11.63,62839220,$11.315,$11.74,$10.98
03/28/2025,$11.85,51302430,$12.025,$12.245,$11.69
03/27/2025,$12.20,58870950,$12.61,$12.70,$12.03
03/26/2025,$13.07,48788700,$13.53,$13.5479,$12.925
03/25/2025,$13.54,35685490,$13.73,$13.90,$13.445
03/24/2025,$13.72,58817620,$13.30,$13.76,$13.14
03/21/2025,$12.87,40043910,$12.41,$12.91,$12.37
03/20/2025,$12.64,40485930,$12.64,$12.94,$12.49
03/19/2025,$12.73,46771920,$12.00,$12.91,$11.96
03/18/2025,$11.95,36336070,$12.10,$12.14,$11.79
03/17/2025,$12.32,45612570,$12.08,$12.47,$11.96
03/14/2025,$12.09,37484500,$11.69,$12.12,$11.61
03/13/2025,$11.39,38157650,$12.00,$12.09,$11.31
03/12/2025,$11.92,54143680,$11.86,$12.12,$11.44
03/11/2025,$11.26,54907860,$11.06,$11.4967,$10.8503
03/10/2025,$11.18,71705230,$12.07,$12.17,$10.93
03/07/2025,$12.59,52630310,$12.32,$12.64,$11.82
03/06/2025,$12.45,49835770,$13.00,$13.25,$12.41
03/05/2025,$13.43,41038020,$13.12,$13.49,$12.84
03/04/2025,$13.09,77982770,$13.00,$13.57,$12.235
03/03/2025,$13.57,58992160,$14.65,$14.905,$13.44
02/28/2025,$14.47,38926360,$13.80,$14.54,$13.73
02/27/2025,$14.07,41470270,$14.73,$14.74,$14.00
02/26/2025,$14.47,51466990,$14.18,$14.735,$14.135
02/25/2025,$13.92,63198050,$14.11,$14.27,$13.42
02/24/2025,$14.36,52266100,$14.80,$14.8167,$13.81
02/21/2025,$14.67,54725320,$15.56,$15.56,$14.58
02/20/2025,$15.56,51063550,$16.01,$16.08,$15.0629
02/19/2025,$16.18,35555680,$16.765,$16.81,$16.10
02/18/2025,$16.83,53815040,$16.47,$17.11,$16.43
02/14/2025,$16.21,63312400,$15.41,$16.42,$15.24
02/13/2025,$15.19,36477830,$14.96,$15.355,$14.775
02/12/2025,$14.77,33663620,$14.58,$14.85,$14.42
02/11/2025,$14.83,30455230,$14.99,$15.25,$14.79
02/10/2025,$15.13,30509890,$15.03,$15.40,$15.00
02/07/2025,$14.91,32161420,$14.90,$15.28,$14.83
02/06/2025,$14.80,46886870,$15.53,$15.55,$14.68
02/05/2025,$15.49,27793210,$15.24,$15.56,$15.2201
02/04/2025,$15.29,29013190,$15.49,$15.62,$15.20
02/03/2025,$15.40,42781910,$14.98,$15.77,$14.89
01/31/2025,$15.78,48036630,$16.44,$16.57,$15.59
01/30/2025,$16.44,35552180,$16.25,$16.67,$16.11
01/29/2025,$15.99,41382730,$16.10,$16.34,$15.76
01/28/2025,$16.17,51829120,$16.12,$16.25,$15.22
01/27/2025,$16.08,107334200,$15.93,$16.98,$15.55
01/24/2025,$17.92,55232020,$18.15,$18.42,$17.86
01/23/2025,$18.03,43826740,$17.40,$18.21,$17.28
01/22/2025,$17.59,51349810,$18.06,$18.06,$17.265
01/21/2025,$17.90,67982570,$17.00,$18.10,$16.89
01/17/2025,$16.50,40496490,$16.42,$16.73,$16.18
01/16/2025,$16.30,43586870,$15.70,$16.38,$15.57
01/15/2025,$15.51,38873140,$15.36,$15.55,$14.99
01/14/2025,$14.50,34100840,$14.30,$14.86,$14.23
01/13/2025,$14.07,32197110,$13.64,$14.085,$13.60
01/10/2025,$14.15,33470070,$14.20,$14.2799,$13.81
01/08/2025,$14.55,28712110,$14.64,$14.84,$14.325
01/07/2025,$14.91,38956310,$15.31,$15.6189,$14.71
01/06/2025,$15.29,32859030,$15.20,$15.48,$14.89
01/03/2025,$14.84,40925330,$14.30,$14.855,$14.12
01/02/2025,$14.13,76412570,$15.00,$15.11,$13.75
12/31/2024,$15.40,29262470,$15.79,$15.90,$15.35
12/30/2024,$15.63,31035970,$15.57,$15.88,$15.42
12/27/2024,$15.98,31003010,$16.39,$16.465,$15.78
12/26/2024,$16.60,36916830,$15.98,$16.68,$15.88
12/24/2024,$16.02,15731460,$15.73,$16.03,$15.57
12/23/2024,$15.63,34576410,$15.50,$15.79,$15.165
12/20/2024,$15.35,52746560,$14.72,$15.53,$14.58
12/19/2024,$15.03,44149620,$15.72,$15.99,$14.92
12/18/2024,$15.24,76625680,$16.89,$17.19,$14.932
12/17/2024,$16.66,53985220,$17.15,$17.17,$16.17
12/16/2024,$16.88,55457620,$16.535,$17.04,$16.20
12/13/2024,$16.25,41622260,$16.04,$16.36,$15.79
12/12/2024,$15.90,48071030,$15.92,$16.48,$15.73
12/11/2024,$15.94,47600810,$15.50,$16.00,$15.16
12/10/2024,$15.29,49585530,$15.49,$16.12,$15.135
12/09/2024,$15.57,59642770,$15.68,$15.96,$15.23
12/06/2024,$16.02,57220510,$15.77,$16.05,$14.85
12/05/2024,$15.65,50857040,$16.01,$16.20,$15.62
12/04/2024,$16.32,40638340,$16.13,$16.43,$15.89
12/03/2024,$15.88,43795800,$15.89,$16.15,$15.62
12/02/2024,$15.91,52367860,$16.49,$16.61,$15.74
11/29/2024,$16.41,31524910,$16.36,$16.61,$16.17
11/27/2024,$16.12,48218580,$15.67,$16.16,$15.57
11/26/2024,$15.49,38184380,$15.50,$15.84,$15.245
11/25/2024,$15.70,49778730,$16.088,$16.0899,$15.52
11/22/2024,$15.60,50055440,$15.27,$15.75,$15.08
11/21/2024,$15.01,60802780,$14.86,$15.55,$14.67
11/20/2024,$14.67,45618840,$14.65,$14.885,$14.29
11/19/2024,$14.42,38330650,$13.76,$14.43,$13.67
11/18/2024,$13.93,47656480,$13.80,$14.30,$13.70
11/15/2024,$13.63,48186520,$13.22,$13.695,$13.08
11/14/2024,$13.40,46251410,$13.61,$13.73,$13.01
11/13/2024,$13.50,55166030,$13.955,$14.28,$13.39
11/12/2024,$13.82,61124960,$13.49,$14.01,$13.37
11/11/2024,$14.11,106393400,$13.61,$14.44,$13.57
11/08/2024,$13.01,83464240,$12.00,$13.01,$11.935
11/07/2024,$11.90,55627550,$11.915,$12.14,$11.85
11/06/2024,$11.81,63197660,$12.07,$12.195,$11.63
11/05/2024,$11.42,53857820,$10.96,$11.55,$10.95
11/04/2024,$10.91,41321660,$10.88,$11.13,$10.6309
11/01/2024,$11.04,41742290,$11.21,$11.22,$10.81
10/31/2024,$11.17,59129220,$11.16,$11.325,$10.88
10/30/2024,$11.22,95149870,$10.47,$11.50,$10.46
10/29/2024,$10.47,164917900,$10.75,$10.80,$9.77
10/28/2024,$11.19,69753440,$11.21,$11.315,$11.02
10/25/2024,$10.99,58331290,$11.21,$11.34,$10.89
10/24/2024,$10.93,72141310,$10.91,$11.30,$10.78
10/23/2024,$10.42,38130440,$10.55,$10.65,$10.175
10/22/2024,$10.58,36501750,$10.32,$10.62,$10.32
10/21/2024,$10.40,50814310,$10.26,$10.54,$10.19
10/18/2024,$10.18,31400300,$9.91,$10.18,$9.8813
10/17/2024,$9.87,50293890,$10.01,$10.03,$9.62
10/16/2024,$10.04,48045000,$10.23,$10.325,$9.91
10/15/2024,$10.18,87195410,$10.16,$10.49,$10.03
10/14/2024,$10.04,116449900,$9.62,$10.07,$9.375
10/11/2024,$9.01,42833260,$8.65,$9.07,$8.63
10/10/2024,$8.63,46015050,$8.51,$8.76,$8.4605
10/09/2024,$8.59,32950110,$8.41,$8.66,$8.30
10/08/2024,$8.41,40451850,$8.32,$8.60,$8.255
10/07/2024,$8.27,40480650,$8.36,$8.52,$8.16
10/04/2024,$8.39,58166240,$8.03,$8.405,$7.90
10/03/2024,$7.83,28728990,$7.75,$7.86,$7.654
10/02/2024,$7.79,27871220,$7.60,$7.83,$7.57
10/01/2024,$7.63,34573650,$7.88,$7.90,$7.6125
09/30/2024,$7.86,28440030,$7.90,$8.07,$7.81
09/27/2024,$7.95,33376700,$7.82,$8.095,$7.82
